NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
0	0	0	0	0	0	1280	1170	3153	1873	795	772
20	1360	537	161	1272	3080	36	18	82	116	21	66
0	0	0	0	0	0	807	1201	682	393	537	955
72	0	326	102	283	54	401	694	498	355	426	819
0	0	0	0	0	0	543	537	1332	929	358	314
16	0	9	49	128	11	413	312	661	266	529	785
299	196	262	337	561	283	109	126	187	153	181	68
6	348	19	25	16	1365	24	0	0	55	14	6
0	0	0	0	0	0	663	101	769	131	85	67
4	0	34	23	0	1642	0	0	0	0	0	0
0	0	0	0	0	0	1690	13	0	0	0	0
0	0	0	0	0	0	0	0	0	1667	0	0
19	0	9	40	20	0	162	435	152	70	242	344
41	28	39	43	38	14	161	321	90	78	249	371
30	135	90	20	194	658	153	28	26	37	35	37
0	0	0	0	0	0	211	278	225	123	303	264
108	67	65	91	80	38	161	191	114	104	188	183
169	207	157	189	138	69	40	84	45	56	73	117
39	116	64	57	109	623	65	20	24	47	42	36
16	0	61	0	25	0	428	43	519	42	15	88
104	74	101	98	135	35	80	148	128	74	80	162
0	0	40	8	8	0	197	323	178	19	69	353
41	20	58	37	74	17	145	124	103	163	181	220
138	149	139	143	164	83	36	34	68	102	50	62
57	283	117	101	187	152	20	10	60	137	17	16
134	185	137	138	132	67	41	57	49	75	85	52
8	11	16	10	33	11	209	223	85	111	197	195
137	106	137	136	105	41	52	100	58	43	98	73
0	0	0	0	0	0	270	211	138	237	95	115
0	0	36	29	20	0	126	327	189	75	81	174
78	117	135	140	159	66	66	42	79	87	42	42
134	152	105	94	97	126	28	78	37	43	68	79
92	53	75	153	148	90	35	53	72	70	168	29
170	56	157	251	124	60	22	50	18	45	35	38
69	51	112	153	190	75	45	35	60	70	99	63
91	134	116	99	106	50	41	89	53	69	80	85
143	83	78	88	144	65	86	51	57	64	71	57
81	61	79	99	93	35	48	104	72	59	129	92
38	17	46	31	31	18	93	94	96	64	178	218
11	5	24	15	11	0	86	185	85	122	142	232
76	46	62	54	77	44	60	71	76	110	150	89
115	78	76	97	39	0	50	93	72	122	86	68
57	33	53	50	81	27	94	138	113	75	67	104
21	90	45	48	63	593	0	0	0	29	0	0
35	75	114	79	89	166	50	26	30	100	57	41
68	23	59	57	85	36	84	152	94	45	30	104
131	78	66	67	147	59	44	34	62	45	57	45
110	113	73	126	86	80	0	46	47	39	62	41
59	22	37	55	33	0	94	174	69	37	88	150
0	0	36	0	0	0	90	131	115	109	119	204
24	0	92	10	136	0	74	132	87	31	111	104
66	54	81	80	121	94	51	41	43	65	54	48
171	52	102	142	71	36	35	41	72	29	13	19
9	0	45	39	83	4	90	181	144	63	20	103
31	46	51	36	71	0	97	98	93	48	77	132
29	24	15	50	48	25	53	96	101	141	134	57
102	43	113	89	79	38	38	60	64	46	32	67
127	98	99	108	51	60	0	33	22	73	51	47
171	52	104	145	64	32	19	31	40	53	21	30
116	116	78	112	115	65	13	28	18	46	26	29
133	98	77	125	102	57	14	17	31	39	15	26
0	38	19	0	128	0	59	63	127	30	132	136
85	74	66	87	78	21	28	66	37	34	65	51
15	0	0	46	0	0	39	143	78	28	43	283
4	17	55	13	140	138	86	32	46	34	36	69
67	47	57	83	59	17	55	89	45	44	58	43
107	76	70	87	83	50	0	43	34	40	33	35
0	0	0	0	0	0	146	106	0	11	126	258
0	0	0	0	0	0	48	23	55	453	62	0
20	26	15	15	18	26	56	83	56	140	99	84
13	0	67	46	23	10	32	59	44	98	110	127
0	0	0	0	0	0	133	58	147	0	132	157
84	92	113	86	57	36	17	20	30	36	21	19
53	66	39	61	58	25	0	82	53	50	75	49
56	32	49	51	94	35	38	45	57	84	23	35
90	54	55	70	117	58	0	32	47	27	47	0
5	0	0	0	4	0	145	47	77	199	50	58
83	90	79	76	45	43	13	33	29	26	31	34
61	106	38	47	59	48	29	38	49	38	33	33
51	37	45	70	88	28	29	38	48	61	50	34
137	79	76	100	36	25	0	17	23	36	28	19
0	45	7	14	19	454	6	0	0	18	0	8
78	94	64	106	59	34	11	17	23	32	28	22
70	60	64	89	85	55	21	21	21	37	19	17
13	27	62	100	35	91	26	76	31	35	22	40
57	84	36	64	34	27	16	57	33	44	48	54
60	52	53	57	48	32	28	62	31	34	28	53
50	20	48	56	62	21	55	64	50	18	20	73
0	0	17	0	0	520	0	0	0	0	0	0
0	0	0	0	0	0	106	49	114	183	11	73
45	50	34	52	26	24	26	73	47	38	60	60
43	43	22	37	27	27	70	55	41	49	53	50
55	42	55	58	87	50	27	22	30	32	35	22
62	128	60	81	60	40	10	18	12	20	15	8
69	0	59	68	55	31	22	34	29	33	52	55
107	48	71	75	81	48	0	17	9	37	12	0
88	73	74	58	60	49	5	24	22	23	14	14
69	45	87	79	63	16	18	38	26	11	13	26
0	0	0	17	33	6	40	187	26	12	97	67
46	59	29	48	62	19	31	48	25	45	41	28
53	28	47	39	29	16	41	47	41	45	43	38
28	18	25	14	28	0	85	58	64	27	68	46
19	28	20	21	32	10	56	57	31	36	79	72
19	16	59	62	35	44	36	93	30	25	21	20
30	36	22	31	36	21	53	49	48	43	34	54
71	61	53	95	68	32	6	14	7	17	20	11
58	22	55	65	61	27	15	26	35	30	33	24
0	20	54	28	30	201	20	0	28	41	10	19
47	54	29	36	28	59	17	36	26	47	35	35
0	18	0	29	16	0	42	87	55	54	29	119
26	17	7	25	59	13	46	53	42	31	56	71
10	0	0	11	0	0	72	54	104	32	38	122
20	36	34	37	45	22	39	44	46	44	35	40
44	51	35	43	65	36	45	25	29	36	0	30
12	0	42	45	67	15	42	87	53	33	13	25
78	33	56	62	100	26	13	11	16	19	5	14
35	35	43	41	24	24	25	37	46	34	41	47
19	9	11	15	20	5	40	50	39	71	89	58
61	64	46	32	35	16	0	26	25	46	39	35
13	13	16	0	0	0	62	71	39	32	94	77
64	20	46	82	41	24	23	34	28	29	14	11
63	34	48	51	51	23	20	24	32	28	20	21
20	32	17	17	29	0	80	57	44	19	48	49
0	40	37	0	43	108	0	39	0	65	44	36
52	160	46	52	0	50	9	9	5	20	4	2
27	80	38	37	26	27	10	32	18	41	35	34
23	10	13	15	11	12	70	35	41	74	59	42
45	41	40	41	47	38	0	42	0	41	24	36
23	0	26	22	40	11	68	44	35	36	33	57
4	5	43	16	17	9	39	28	124	37	10	63
56	52	45	62	65	40	0	18	7	25	12	12
44	54	47	60	56	35	0	0	19	32	22	25
0	0	24	0	0	0	21	113	62	57	59	52
48	16	33	36	30	10	26	48	31	27	39	41
33	0	37	36	30	0	35	82	44	0	27	60
56	74	56	40	31	42	8	20	7	23	17	8
22	34	17	14	18	13	62	34	23	39	66	37
60	65	54	23	50	23	6	12	21	27	14	14
52	46	60	40	14	16	22	38	32	24	10	14
45	33	35	48	53	35	14	19	33	24	19	10
