ASV	NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
9002efc8d0aae0e00570a0ef34a8f2f4	0	0	0	0	0	0	1280	1170	3153	1873	795	772
41ae7e08f17de260576e380c2f703a0f	20	1360	537	161	1272	3080	36	18	82	116	21	66
0be25e4c445f978d165c30f36c9b41ae	0	0	0	0	0	0	807	1201	682	393	537	955
d1316b26e5350da36e6456499ecdfe18	72	0	326	102	283	54	401	694	498	355	426	819
1624f6ce2f3a06b5b884c321e3d24587	0	0	0	0	0	0	543	537	1332	929	358	314
684433f1b511ba86c277251510fce2d7	16	0	9	49	128	11	413	312	661	266	529	785
6e21d8726024d1197fad8919bd53ed0a	299	196	262	337	561	283	109	126	187	153	181	68
fd63b583680917403001aa46a7cc26ca	6	348	19	25	16	1365	24	0	0	55	14	6
bcc71cc1efae148c0f7572338d3e2f86	0	0	0	0	0	0	663	101	769	131	85	67
febb741f9cd062f7e0471bd9ad45447f	4	0	34	23	0	1642	0	0	0	0	0	0
2c6c9733bc871b5f6ccece96bf85096f	0	0	0	0	0	0	1690	13	0	0	0	0
a7d60cba7160765ee7ef6fe3bf9704b7	0	0	0	0	0	0	0	0	0	1667	0	0
a4c717aa47987560ee6dfe12fdf4f94a	19	0	9	40	20	0	162	435	152	70	242	344
91817edabd5d2aeddb1fa1507a0bcf3b	41	28	39	43	38	14	161	321	90	78	249	371
9c561fb60992f8e39f3baef6599f3bad	30	135	90	20	194	658	153	28	26	37	35	37
ef95b652667dc79202be341a1f946175	0	0	0	0	0	0	211	278	225	123	303	264
5e6e1ea1322c9f18b4c23720018c48de	108	67	65	91	80	38	161	191	114	104	188	183
186392d77318b91f6495f6bba9b60b84	169	207	157	189	138	69	40	84	45	56	73	117
35443d50ac362a443c63728ec2cf5d58	39	116	64	57	109	623	65	20	24	47	42	36
f8b309360cae4f2cb5c9bd48aa1c8195	16	0	61	0	25	0	428	43	519	42	15	88
c0913e5bd85ef72f2487e8fa236a7c4d	104	74	101	98	135	35	80	148	128	74	80	162
4e764042d4e571d09f2d780a66bf0afd	0	0	40	8	8	0	197	323	178	19	69	353
d1e4600f22e32c28e9fef967ca91c8ae	41	20	58	37	74	17	145	124	103	163	181	220
a85ca69490fe336085b5f9df8ea650b4	138	149	139	143	164	83	36	34	68	102	50	62
077a107d5db5b5d54963a15cd930b4a1	57	283	117	101	187	152	20	10	60	137	17	16
98fb88f1203912d76ace27167565c810	134	185	137	138	132	67	41	57	49	75	85	52
80483c2732ed2631dc677fbbed0d2fa0	8	11	16	10	33	11	209	223	85	111	197	195
4c6512615ebb08b67281a099c5a49bb3	137	106	137	136	105	41	52	100	58	43	98	73
bffd8c58827ab16906c8b5c713c3ce9a	0	0	0	0	0	0	270	211	138	237	95	115
349138810a6e556867fa60b640b3a8f0	0	0	36	29	20	0	126	327	189	75	81	174
f95ff6426412ad5c7eeb06cae2007043	78	117	135	140	159	66	66	42	79	87	42	42
cc435eeb0ecaede6f0e152044bf6fcd0	134	152	105	94	97	126	28	78	37	43	68	79
ffc527777309d1546cd351c6f0a92c6c	92	53	75	153	148	90	35	53	72	70	168	29
2884340e8c8a1c621a6a2ea5262878e7	170	56	157	251	124	60	22	50	18	45	35	38
47b656e55b0fadbee413108cd12fd81c	69	51	112	153	190	75	45	35	60	70	99	63
aa37dad6269193b01656925e4948a0a4	91	134	116	99	106	50	41	89	53	69	80	85
ca68f705441f5185a227d53e8cd3c338	143	83	78	88	144	65	86	51	57	64	71	57
7ef950e3d127ebeb98b1adc9628926ae	81	61	79	99	93	35	48	104	72	59	129	92
