Genero	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
index	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis;g__Incertae_Sedis	 807	 828	1901	3205	1298	1344	 257	  28	  61	  96	  11	  24
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;__;__;__	 207	 118	 808	 207	 101	 185	3254	1557	 494	 911	1711	 367
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;__;__;__	1737	1123	 796	1126	1989	1213	 309	 703	 785	 663	 805	 850
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__	819	447	381	515	694	401	 54	294	102	326	 11	 92
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Incertae_Sedis	 314	 358	 940	1348	 537	 543	   8	  14	  13	   7	  18	  24
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	 799	 536	2003	 677	 325	2103	  11	 128	  49	   9	   0	  16
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Saccharococcus	 68	265	193	261	172	127	386	805	451	338	272	433
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;__	   6	  14	  55	   0	   0	  24	1365	  16	  25	  19	 404	   6
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquincola	425	297	294	853	306	839	 49	 76	145	100	 48	156
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Idiomarinaceae;g__Incertae_Sedis	   0	   0	   0	   0	   0	   0	2172	   0	  23	  51	   0	   4
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Hartmannibacter	488	397	121	224	485	243	 14	 44	 43	 55	 41	 54
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__	 189	 124	 153	 112	 125	 325	1874	 395	 130	 257	 347	  95
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Kitasatosporales;f__Streptomycetaceae;g__Streptantibioticus	404	499	225	361	449	236	137	169	243	166	245	234
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	1482	 873	 680	 956	1449	 831	 325	 948	1038	 946	 673	1123
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__GTL1	 784	 346	 271	1009	 662	1021	 379	 259	  82	 250	  73	  61
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niveitalea	225	186	195	207	155	157	 17	 77	 44	 58	 20	 41
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f;f__Incertae_Sedis;g__Incertae_Sedis	 62	 50	102	 68	 34	 36	 83	164	164	139	149	138
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Incertae_Sedis;g__Incertae_Sedis	 16	 17	137	 60	 10	 20	152	187	101	117	283	 57
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Incertae_Sedis	 52	 85	 98	 49	 68	 41	 89	168	165	168	243	193
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Coralloluteibacterium	1520	1380	 726	 820	1095	 738	 158	 465	 507	 566	 310	 418
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	115	 95	271	183	211	276	  0	  9	 12	 13	 15	 18
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;__;__	557	420	391	505	805	324	310	463	861	697	699	810
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__	210	210	186	235	219	257	103	314	204	204	169	190
d__Bacteria;p__Actinomycetota;c__Actinobacteria;__;__;__	143	156	129	114	153	 71	273	206	315	308	333	405
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Falsibacillus	 44	348	 87	 90	 98	 60	187	179	161	 86	 53	 92
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadia;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Incertae_Sedis	206	214	318	286	233	148	341	652	933	680	591	968
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Sufflavibacter	152	210	235	133	102	146	335	420	312	307	180	170
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;__;__	305	366	369	242	252	323	178	441	313	241	205	359
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Chungangia	 89	192	139	105	 88	 60	 44	 99	 81	 62	 46	101
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Devosiaceae;__	320	343	402	312	316	235	 83	139	349	245	249	351
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella	368	133	126	278	387	213	 60	180	165	155	 84	162
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;__	270	262	319	260	229	267	310	556	360	366	397	533
