Phylum	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
d__Bacteria;p__Cyanobacteriota	 859	 859	1944	3254	1317	1378	 291	 104	 148	 170	  86	 140
d__Bacteria;p__Pseudomonadota	10379	 7790	 9307	 9181	 9741	 9044	 9791	 6963	 7184	 6980	 7163	 7355
d__Bacteria;p__Actinomycetota	2055	1782	1200	1550	2018	1083	 980	1434	1262	1659	1294	1373
d__Bacteria;p__Bacillota	 457	1788	1153	1041	 808	 559	1625	2364	1788	1313	1141	1579
d__Bacteria;p__Bacteroidota	2324	2534	2740	2368	2445	3314	3652	3749	2602	2389	2731	2521
d__Bacteria;p__Patescibacteria	 968	 435	 619	1293	 818	1195	 963	 824	 766	 878	 956	 851
d__Bacteria;p__Acidobacteriota	187	147	206	152	196	112	184	516	637	412	370	515
d__Bacteria;p__Chloroflexota	 258	 264	 449	 260	 317	 147	 539	 763	1114	1069	 948	1229
d__Bacteria;p__Gemmatimonadota	 383	 388	 619	 506	 438	 244	 624	1163	1390	1187	1116	1648
d__Bacteria;p__Verrucomicrobiota	485	234	572	488	533	411	200	489	424	378	376	413
d__Bacteria;__	 335	 261	 323	 369	 343	 197	 461	 877	1114	 954	 876	1276
d__Bacteria;p__Nitrospirota	 17	 19	 40	 26	 21	 21	 60	107	 92	 68	 60	 70
d__Bacteria;p__Myxococcota	 41	 91	168	101	108	 48	264	351	567	463	544	581
d__Bacteria;p__Planctomycetota	214	194	372	212	252	126	390	779	768	698	894	873
d__Bacteria;p__Latescibacterota	 16	  5	 22	 18	 11	 13	 31	109	 73	 64	 39	 95
d__Bacteria;p__Armatimonadota	 56	 27	 64	 71	 72	 37	 32	 87	 72	 76	 57	107
d__Bacteria;p__Bdellovibrionota	  8	 16	 54	 21	 17	  6	 61	187	 95	141	211	122
d__Bacteria;p__Thermodesulfobacteriota	 5	 7	17	13	 9	 8	31	65	34	59	35	26
d__Bacteria;p__Rhodothermota	16	15	 5	 6	27	 9	10	40	23	14	38	34
d__Bacteria;p__Incertae_Sedis	 9	 7	16	 9	14	 9	 5	31	22	32	12	24
d__Bacteria;p__Hydrogenedentes	  7	  0	 11	 12	  0	  5	 18	124	 53	 56	 25	 68
d__Archaea;p__Nanoarchaeota	 0	 0	 4	 3	 0	 0	18	 0	 8	12	21	17
d__Bacteria;p__Elusimicrobiota	 0	 0	11	 6	 3	 0	22	24	32	39	18	93
d__Bacteria;p__Chlamydiota	 4	 8	 0	 0	 0	 2	 4	20	 9	26	15	22
d__Bacteria;p__WS2	 0	 0	 0	 0	 5	 0	 0	 0	14	 7	 5	 8
d__Bacteria;p__Ignavibacteriota	 0	 0	 0	 0	 0	 5	 0	12	16	 4	 2	 4
d__Bacteria;p__Abditibacteriota	13	 7	14	 0	 0	 9	 4	 6	 6	 4	 5	16
d__Bacteria;p__Sumerlaeota	 6	 0	 0	 9	 7	 5	11	 5	 3	 2	19	 0
d__Archaea;p__Thermoproteota	0	3	7	4	0	0	0	9	0	4	3	4
d__Bacteria;p__Candidatus_Kapabacteria	 7	 0	 4	 0	 4	 0	 0	 9	 4	12	10	 0
d__Bacteria;p__Deinococcota	 3	 6	 0	 0	20	 6	 0	 5	 6	 9	12	 4
d__Bacteria;p__Fibrobacterota	 0	 0	 0	 3	 0	 0	 0	 0	 4	 0	16	 5
Unassigned;__	 0	 3	10	 0	 0	 0	 0	 7	 5	 9	 4	 9
d__Bacteria;p__Dependentiae	 0	 3	 0	 0	 0	 6	21	 0	 0	 2	 5	 4
d__Bacteria;p__SAR324_clade(Marine_group_B)	0	0	0	0	0	0	0	2	0	3	2	0
d__Bacteria;p__TX1A-33	0	0	0	0	0	0	5	0	0	4	0	0
d__Bacteria;p__Methylomirabilota	0	0	0	0	0	0	0	0	0	3	0	0
accession	SRX13358035	SRX13358036	SRX13358037	SRX13358038	SRX13358039	SRX13358040	SRX13358517	SRX13358630	SRX13358022	SRX13358024	SRX13358026	SRX13358032
sra_run	SRR17174842	SRR17174841	SRR17174840	SRR17174839	SRR17174838	SRR17174837	SRR17174969	SRR17174856	SRR17174855	SRR17174853	SRR17174851	SRR17174845
Type	Tomato	Tomato	Tomato	Tomato	Tomato	Tomato	NC	NC	NC	NC	NC	NC
