sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
NC_1	44773	33553	74.94	27791	21557	48.15	21086	47.1
NC_2	41735	30374	72.78	25195	19560	46.87	19109	45.79
NC_3	39165	30886	78.86	25397	19667	50.22	19200	49.02
NC_4	40180	31675	78.83	26583	20699	51.52	20335	50.61
NC_5	41342	32540	78.71	27628	21835	52.82	21225	51.34
NC_6	39829	31863	80	27612	22583	56.7	20297	50.96
Tomato_1	34194	27222	79.61	23865	19237	56.26	17999	52.64
Tomato_2	40436	30780	76.12	26517	20876	51.63	19544	48.33
Tomato_3	40454	32515	80.38	28693	23733	58.67	20976	51.85
Tomato_4	39106	30974	79.21	26607	20830	53.27	19951	51.02
Tomato_5	33238	26701	80.33	22755	17761	53.44	16893	50.82
Tomato_6	37085	30045	81.02	26154	20467	55.19	19112	51.54
